Employee_ID,First_Name,Last_Name,Email,Department,Position,Salary,Hire_Date,Performance_Score,Manager_ID
E001,John,Wilson,employee1@company.com,Engineering,Engineer,62378,2014-07-15,2,E005
E002,Sarah,Davis,employee2@company.com,Operations,Analyst,52968,2012-02-12,5,E001
E003,Linda,Williams,employee3@company.com,HR,Manager,110006,2012-08-22,5,E002
E004,Linda,Smith,employee4@company.com,Finance,Manager,114220,2018-07-18,1,E005
E005,Jane,Taylor,employee5@company.com,Finance,Executive,52406,2021-06-22,2,E004
E006,David,Jones,employee6@company.com,Engineering,Executive,88635,2017-02-11,1,E002
E007,Alice,Williams,employee7@company.com,HR,Salesperson,99824,2016-05-11,4,E005
E008,Michael,Johnson,employee8@company.com,Marketing,Consultant,62112,2010-06-17,1,E004
E009,Linda,Smith,employee9@company.com,Marketing,Salesperson,64176,2014-05-12,2,E005
E010,Alex,Johnson,employee10@company.com,Marketing,Manager,53042,2022-08-10,5,E005
